date,special_day,since,format

1/20,두더지 조심하는 날,2020,anniversary
3/5,이기영,1960,birthday
🔴3/23,국제 강아지의 날,2006,anniversary
4/17,전남친 토스트 탄생,2018,anniversary
5/2,기환절,2011,anniversary
5/25,객식구 차별선언,2007,anniversary
5/30,국제 감자의 날,2023,anniversary
6/1,세계 공룡의날,2019,anniversary
6/20,행복한 날,0000,none
6/28,영어 사용 전면금지 선언,2007,anniversary
7/13,나이스 데이,0000,none
7/15,젤리의 날,0000,none
7/16,기니피그 감사의 날,0000,none
7/19,급한날,2021,anniversary
8/8,건성 김미연 탄생,2012,anniversary
9/1,요크신시티에서 보는 날,2000,none
9/21,Do you remember?,1978,anniversary
🔴10/04,세계 동물의 날,1925,anniversary
